Item #,Name,Description,Price,Item type,Status,Commodity,Tax,Uom,External reference,Documents,CATEGORY,Manufacturer,Part number,,,,
V1000,"Stud Metal, 3-5/8"", 10', 20 Ga, 16"" OC","Stud Metal, 3-5/8"", 10', 20 Ga, 16"" OC", 7.64 ,goods,active,Structural Products,,EA,,,FRAMING/DRYWALL,ProSTUD,1324124,,,,
V1005,"Track, Metal 3-5/8"" 10', 20 GA, 16"" OC Galvanized","Track, Metal 3-5/8"" 10', 20 GA, 16"" OC Galvanized", 7.57 ,goods,active,Structural Products,,EA,,,FRAMING/DRYWALL,ProTRAK,1324126,,,,
V1010,"Drywall 4' X 10' X 5/8"" Fire Rated","Drywall 4' X 10' X 5/8"" Fire Rated", 20.40 ,goods,active,Drywall,,EA,,,FRAMING/DRYWALL,,,,,,
V1015,"Mud, Drywall Plus-3, Bucket, 5 Gal","Mud, Drywall Plus-3, Bucket 5 Gal", 23.00 ,goods,active,Drywall Joint Compound,,EA,,,FRAMING/DRYWALL,,,,,,
V1020,"Mud Drywall, All-Purpose, Bucket, 5 Gal","Mud Drywall, All-Purpose, Bucket, 5 Gal", 23.00 ,goods,active,Drywall Joint Compound,,EA,,,FRAMING/DRYWALL,,,,,,
V1025,"Screw, Drywall, 1-1/4"" Self-Tapping, Per Pound","Screw, Dry Wall, 1-1/4"" Self-Tapping, Per Pound", 3.40 ,goods,active,Drywall screws,,LB,,,FRAMING/DRYWALL,Grip Fast 25LB Box,229253125,,,,
V1030,"Ceiling Grid, 12', Armstrong, White, 15/16""","Ceiling Grid, 12', Armstrong, White, 15/16""", 8.88 ,goods,active,Ceiling materials,,EA,,,CEILING,,,,,,
V1035,"Screw, Metal Stud, Pan Head, Self Tapping, Per Pound","Screw, Metal Stud, Pan Head, Self Tapping, Per Pound", 3.60 ,goods,active,Drywall screws,,LB,,,FRAMING/DRYWALL,,,,,,
V1040,"Tape, 2"" Blue, Painters, 60 YD Roll","Tape, 2"" Blue, 60 YD Roll", 6.55 ,goods,active,Paper tapes,,EA,,,PAINT/WALL,,,,,,
V1055,"Drywall 4' X 8' 1/2"" Light Weight","Drywall 4' X 8' 1/2"" Light Weight", 9.22 ,goods,active,Drywall,,EA,,,FRAMING/DRYWALL,,1311223,,,,
V1060,Sheeting 6' X 100' 6-mil Black Poly,Sheeting 6' X 100' 6-mil Black Poly, 32.03 ,goods,active,Cleaning & Maintenance,,EA,,,PAINT/WALL,Polar Plastics,5680295,,,,
V1065,"Spring Clamp 1"" Metal","Spring Clamp 1"" Metal", 0.87 ,goods,active,Hardware,,EA,,,PAINT/WALL,Top Shop,2491303,,,,
V1070,"Duct Tape 1.88"" X 55 YD Multi-Use - 3 Pack","Duct Tape 1.88"" X 60 YD Multi-Use - 3 Pack", 9.78 ,goods,active,Tape,,EA,,,PAINT/WALL,IPG,5642017,,,,
V1080,"Screw Concrete Tapcon 3/16"" x 1-1/4"" Hex Drive Washer Head 25/Count","Screw Concrete Tapcon 3/16"" x 1-1/4"" Hex Drive Washer Head  25/Count", 7.98 ,goods,active,Screws,,EA,,,FRAMING/DRYWALL,Tapcon,2326973,,,,
V1085,"Screw Teks #8 x 3/4"" Pan Head Self-Drilling Metal to Metal 240 Count","Screw Teks #8 x 3/4"" Pan Head Self-Drilling Metal to Metal 240 Count", 8.43 ,goods,active,Screws,,EA,,,FRAMING/DRYWALL,Teks,2328111,,,,
V1090,"Tape Painters Blue 1.41"" x 60 YD 3M Scotch Tape - 6 Pack","Tape Painters Blue 1.41"" x 60 YD 3M Scotch Tape - 6 Pack", 31.13 ,goods,active,Tape,,EA,,,PAINT/WALL,3m,5641009,,,,
V1100,"Tape Painters 1.41"" X 60 YD Delicate Surface - Roll","Tape Painters 1.41"" X 60 YD Delicate Surface - Roll", 7.96 ,goods,active,Tape,,EA,,,PAINT/WALL,3M,5641001,,,,
V1110,"Drywall 4' X 8' 5/8"" Fire-Rated","Drywall 4' X 8' 5/8"" Fire-Rated", 15.36 ,goods,active,Drywall,,EA,,,FRAMING/DRYWALL,,58,,,,
V1200,"Pipe sewer PVC 4"" x 10' ","Pipe sewer PVC 4"" x 10' ", 31.10 ,goods,active,Drain pipe odor suppression device,,EA,,,PLUMBING,NA,P40PP10,,,,
V1075,"Drill Bit Masonry 5/32"" x 3-1/2"" Flat Shank Hex Hammer Drill Bit","Drill Bit Masonry 5/32"" x 3-1/2"" Flat Shank Hex Hammer Drill Bit", 2.48 ,goods,active,Hardware,,EA,,,FRAMING/DRYWALL,Bosch,2522610,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
